image,caption,caption_kind,source,date,is_cam,cam_score,url,video_id,duration,post_title,description
images/nzp_youtube_M8WfCNBE7t8.jpg,"B-Roll: Giant Panda Bao Li's 5th Birthday Celebration (Aug. 4, 2026)",title,nzp_youtube,"Aug 4, 2026",False,0.0053,https://www.youtube.com/watch?v=M8WfCNBE7t8,M8WfCNBE7t8,124,,"Dive into five! Giant panda Bao Li celebrated turning five with a shark-themed birthday bash this morning at Smithsonian’s National Zoo and Conservation Biology Institute. The “bearthday” boy enjoyed a special panda-friendly fruitsicle cake made by the Zoo’s Department of Nutrition Science as crowds gathered at the David M. Rubenstein Family Giant Panda Habitat.
 
Bao Li’s shark-themed party was inspired by a stripe of longer fur that runs down the middle of his back, which keepers affectionately call his “shark fin.” Using frozen diluted apple and pineapple juices, commissary keepers topped the multi-tiered cake with a gray shark fin. Bao Li removed all of the decorative elements—“minnows” carved from sweet potatoes, blueberry “bubbles,” a carrot carved into a palm tree with pineapple leaf fronds, and “sand” made of crushed leafeater biscuits—before sinking his teeth into the frozen cake tiers. He also chilled for a while with the cake against his belly.
 
 “We’re gonna need a bigger "
images/nzp_youtube_s-lxbWhtq40.jpg,Giant Pandas Bao Li and Qing Bao Socialize in the Snow,title,nzp_youtube,"Jan 27, 2026",True,0.0588,https://www.youtube.com/watch?v=s-lxbWhtq40,s-lxbWhtq40,61,,"Snow wasn't the only thing in the air during the storm! 💕 

On Sunday, Bao Li and Qing Bao spent a lot of time interacting with each other through the “howdy” gate — a mesh screen that separates the two panda habitats— with adorable results!

Giant pandas tend to prefer their own space and usually only share habitat when they’re ready to reproduce, which is why they are housed separately at the Zoo. At just four years old, both Bao Li and Qing Bao are still a few years away from sexual maturity, which occurs around five to six years old. But keepers say the “teenage” pandas have expressed growing interest in each other lately, sharing greetings by bleating and pressing their noses against the gate. Or in Bao Li’s case, by showing off his impressive somersaulting skills.

Tune into our Panda Cam to catch all the antics by visiting https://s.si.edu/4rbOlOt

Credit: Smithsonian

Video description: a compilation of scenes filmed via the National Zoo's panda cam. The first scene shows Bao L"
images/nzp_youtube_KS4tqnNhuuw.jpg,Giant Pandas Qing Bao and Bao Li Play in Snow at Smithsonian's National Zoo,title,nzp_youtube,"Jan 26, 2026",False,-0.0076,https://www.youtube.com/watch?v=KS4tqnNhuuw,KS4tqnNhuuw,61,,"We are SNOW back!

On January 25, the National Zoo's giant pandas, Bao Li and Qing Bao, took full advantage of the snow day: climbing, tumbling and playing with their toys in the snow. Qing Bao in particular seemed to enjoy playing in the snow, while Bao Li showed off his somersaulting skills for her in front of the howdy gate.

As with all of our animals during cold weather, both bears had access to their indoor areas to stay warm. 

Credit: Roshan Patel/Smithsonian"
images/nzp_youtube_iOm9F5ISj_4.jpg,"#DCPandas: Happy 4th Birthday, Qing Bao!",title,nzp_youtube,"Sep 12, 2025",False,0.0074,https://www.youtube.com/watch?v=iOm9F5ISj_4,iOm9F5ISj_4,61,,"Join us in wishing our “4-ever sweet” giant panda Qing Bao a happy 4th birthday! Shortly after 9 a.m., animal care staff presented her with a special panda-friendly fruitsicle cake made by the Zoo’s Department of Nutrition Science. Commissary keepers crafted the multi-tiered cake using frozen-diluted beet, pineapple and apple juices mixed with water. A giant number 4 adorned the cake, which was decorated with some of Qing Bao's favorite treats, including apples, shredded carrots, sweet potato puree, blueberries, strawberries and peaches. 

Virtual visitors tuned into the Zoo’s Giant Panda Cam, sponsored by The Boeing Company, to watch Qing Bao enjoy her birthday festivities.

Qing Bao took a very mindful, very demure journey to her party. Keepers hung her birthday gift—a new navy blue jolly ball—from a tree branch. Near the cake were several pink, purple and yellow enrichment boxes, each with a special message. After she batted the ball from the tree, Qing Bao ambled over to the box br"
images/nzp_youtube_mIUB5a0MGlA.jpg,Preparing for Pseudopregnancy with Giant Panda Qing Bao,title,nzp_youtube,"Aug 22, 2025",False,-0.0054,https://www.youtube.com/watch?v=mIUB5a0MGlA,mIUB5a0MGlA,34,,"Earlier this spring, giant panda Qing Bao experienced her first estrus cycle—the very short window when female giant pandas are able to conceive a cub. She and male Bao Li didn’t breed this year, but changes in Qing Bao’s behavior and hormones indicate she’s going through pseudopregnancy—the phenomenon where a female panda behaves as if she is pregnant, even though she isn't. Read the full #DCPandas update from keeper Mariel Lally. STORY: https://nationalzoo.si.edu/animals/ne...."
images/nzp_youtube_RnDyd3sGKwM.jpg,"#DCPandas: Happy 4th Birthday, Bao Li!",title,nzp_youtube,"Aug 4, 2025",False,0.0013,https://www.youtube.com/watch?v=RnDyd3sGKwM,RnDyd3sGKwM,43,,"ROAR, he’s FOUR! Join us in wishing giant panda Bao Li a dino-mite birthday! At 9 a.m., animal care staff presented Bao Li with a special panda-friendly fruitsicle cake made by the Zoo’s Department of Nutrition Science. Commissary keepers crafted the multi-tiered cake using frozen diluted pineapple juices. The treat was decorated with Bao Li’s favorite treats, including apples, carrots, sweet potatoes, blueberries and leafeater biscuits. The cake was topped with 4 “candles” made from one of the pandas’ favorite foods: sugar cane! 

Bao Li made a beeline straight for his cake. He snacked on a piece of sugar cane first, then plucked an apple from the top. He chewed each treat slowly, seeming to savor every bite! The cake was flanked by two colorful enrichment boxes, one was green with “Dino-4” in painted letters, and the other—a blue box inscribed with “To: Bao Li From: Your Keepers”—concealed a new buoy toy hidden inside. Keepers place a colorful hand-painted banner, complete with a pan"
images/nzp_youtube_IUjIau_d584.jpg,"#DCPandas: Giant Pandas Bao Li and Qing Bao Interact at the ""Howdy"" Window",title,nzp_youtube,"May 16, 2025",True,0.0296,https://www.youtube.com/watch?v=IUjIau_d584,IUjIau_d584,59,,"Giant pandas Bao Li and Qing Bao interact through a howdy window at Smithsonian's National Zoo on April 28, 2025. 
. . .
Read the latest Giant Panda Update: https://nationalzoo.si.edu/animals/ne.... 
. . . 
Follow the latest news about Bao Li and Qing Bao using the hashtag #DCPandas. 
. . . 
Watch the Giant Panda Cam, sponsored by Boeing: https://nationalzoo.si.edu/webcams/pa.... 
. . . 
Get giant pandas in your inbox! Sign up for the Zoo's e-newsletters: https://secure.nationalzoo.si.edu/acc...."
images/nzp_youtube_lCblMCbhflI.jpg,#DCPandas: Giant Panda Bao Li Plays Indoors,title,nzp_youtube,"May 16, 2025",True,0.0323,https://www.youtube.com/watch?v=lCblMCbhflI,lCblMCbhflI,53,,"Giant panda Bao Li splashes, climbs and roams around his indoor habitat at Smithsonian's National Zoo on March 26, 2025. 
. . .
Read the latest Giant Panda Update: https://nationalzoo.si.edu/animals/ne.... 
. . . 
Follow the latest news about Bao Li and Qing Bao using the hashtag #DCPandas. 
. . . 
Watch the Giant Panda Cam, sponsored by Boeing: https://nationalzoo.si.edu/webcams/pa.... 
. . . 
Get giant pandas in your inbox! Sign up for the Zoo's e-newsletters: https://secure.nationalzoo.si.edu/acc...."
images/nzp_youtube_CIRrujeMihE.jpg,#DCPandas: Giant Panda Qing Bao Plays Indoors,title,nzp_youtube,"May 16, 2025",True,0.0507,https://www.youtube.com/watch?v=CIRrujeMihE,CIRrujeMihE,42,,"Giant panda Qing Bao plays in her indoor habitat at Smithsonian's National Zoo on March 27, 2025. 
. . .
Read the latest Giant Panda Update: https://nationalzoo.si.edu/animals/ne.... 
. . . 
Follow the latest news about Bao Li and Qing Bao using the hashtag #DCPandas. 
. . . 
Watch the Giant Panda Cam, sponsored by Boeing: https://nationalzoo.si.edu/webcams/pa.... 
. . . 
Get giant pandas in your inbox! Sign up for the Zoo's e-newsletters: https://secure.nationalzoo.si.edu/acc...."
images/nzp_youtube_1Kl37O_h1lE.jpg,What Does A Panda Say?,title,nzp_youtube,"May 13, 2025",False,-0.0071,https://www.youtube.com/watch?v=1Kl37O_h1lE,1Kl37O_h1lE,120,,"This video was created for the Get a Head Start with the Smithsonian (GHSS) program. This National Zoo-based project brings the entire Smithsonian Institution into your preschool or Head Start classroom! GHSS explores popular Pre-K themes with live 30-minute virtual field trips that feature music, movement, and amazing animals. Caregivers can continue the fun by accessing playful, easy-to-use activities created by Smithsonian museums that meet early learning standards. 

To learn more, please visit: https://nationalzoo.si.edu/education/..."
